episode,seed0,seed1,steps,hunger_recovery,non_hungry_steps,non_hungry_rate,action_count_eat,action_count_read,action_count_drop,action_count_quaff,action_count_zap,action_freq_eat,action_freq_read,action_freq_drop,action_freq_quaff,action_freq_zap
0,766813823,766813823,7296,13,6968,0.9550438596491229,231,6,0,1,3,0.031661184210526314,0.0008223684210526315,0.0,0.00013706140350877192,0.00041118421052631577
1,766813824,766813824,26085,126,22269,0.8537090281771132,628,1,15,4,5,0.02407513896875599,3.8336208548974504e-05,0.0005750431282346176,0.00015334483419589801,0.00019168104274487253
2,766813825,766813825,45500,68,42852,0.9418021978021978,875,14,247,2,2,0.019230769230769232,0.0003076923076923077,0.0054285714285714284,4.3956043956043955e-05,4.3956043956043955e-05
3,766813826,766813826,34715,94,30474,0.8778337894282011,778,1,22,4,1,0.022411061500792164,2.8805991646262422e-05,0.0006337318162177733,0.00011522396658504969,2.8805991646262422e-05
4,766813827,766813827,3888,34,3353,0.8623971193415638,103,1,0,1,0,0.026491769547325104,0.000257201646090535,0.0,0.000257201646090535,0.0
5,766813828,766813828,70105,89,67241,0.9591469937950218,1155,46,95,6,38,0.016475287069395907,0.0006561586192140361,0.0013551101918550744,8.55859068540047e-05,0.0005420440767420298
6,766813829,766813829,63091,80,56962,0.9028546068377423,1128,7,24,4,1,0.01787893677386632,0.00011095084877399312,0.0003804029100822621,6.340048501371036e-05,1.585012125342759e-05
7,766813830,766813830,82727,118,78572,0.9497745596963506,1164,42,139,36,22,0.0140703760561848,0.0005076939814087299,0.00168022531942413,0.00043516626977891136,0.00026593494264266803
8,766813831,766813831,43525,88,38745,0.8901780585870189,927,39,61,10,26,0.021298104537622056,0.0008960367604824814,0.001401493394600804,0.00022975301550832856,0.0005973578403216542
9,766813832,766813832,26458,72,23610,0.892357698994633,765,1,7,1,0,0.02891375009448938,3.779575175750246e-05,0.0002645702623025172,3.779575175750246e-05,0.0
10,766813833,766813833,46727,84,42580,0.9112504547691913,934,14,117,1,2,0.01998844351231622,0.0002996126436535622,0.0025039056648190556,2.1400903118111584e-05,4.280180623622317e-05
11,766813834,766813834,14192,88,12175,0.8578776775648252,351,0,3,0,1,0.024732243517474634,0.0,0.00021138669673055241,0.0,7.046223224351747e-05
12,766813835,766813835,8851,22,8467,0.9566150717433058,286,9,3,2,12,0.032312733024517,0.0010168342560162693,0.00033894475200542314,0.00022596316800361542,0.0013557790080216926
13,766813836,766813836,52655,94,48148,0.9144050897350678,922,21,31,0,65,0.01751020795745893,0.0003988225239768303,0.0005887380115848447,0.0,0.0012344506694520938
14,766813837,766813837,12648,27,12344,0.9759645793801391,333,1,0,0,0,0.026328273244781784,7.906388361796332e-05,0.0,0.0,0.0
15,766813838,766813838,88052,77,77183,0.8765615772498069,1547,5,5,14,0,0.01756916367600963,5.6784627265706625e-05,5.6784627265706625e-05,0.00015899695634397857,0.0
16,766813839,766813839,42713,71,39200,0.9177533771919556,842,19,25,8,7,0.019712967948868027,0.0004448294430267132,0.0005853018987193594,0.00018729660759019502,0.00016388453164142066
17,766813840,766813840,23427,52,21172,0.9037435437742776,548,0,16,1,0,0.023391812865497075,0.0,0.0006829726384086738,4.268578990054211e-05,0.0
18,766813841,766813841,8553,22,7840,0.9166374371565532,223,0,0,0,0,0.026072723021162165,0.0,0.0,0.0,0.0
19,766813842,766813842,42284,72,38600,0.9128748462775518,1009,3,42,15,415,0.02386245388326554,7.094882224955066e-05,0.0009932835114937091,0.0003547441112477533,0.009814587077854507
20,766813843,766813843,36185,68,31711,0.8763576067431256,857,0,25,0,102,0.023683846897885864,0.0,0.000690894016857814,0.0,0.0028188475887798814
21,766813844,766813844,17285,53,15443,0.8934336129592132,420,0,3,1,12,0.02429852473242696,0.0,0.00017356089094590685,5.785363031530229e-05,0.0006942435637836274
22,766813845,766813845,30789,62,28553,0.9273766604956316,746,5,13,6,1,0.024229432589561208,0.00016239566078794375,0.00042222871804865376,0.0001948747929455325,3.247913215758875e-05
23,766813846,766813846,1324,3,1097,0.8285498489425982,39,0,1,0,0,0.02945619335347432,0.0,0.0007552870090634441,0.0,0.0
24,766813847,766813847,42406,49,37207,0.8773994246097251,1121,6,71,4,2,0.026434938452105834,0.00014148941187567797,0.0016742913738621893,9.432627458378532e-05,4.716313729189266e-05
25,766813848,766813848,60270,77,55232,0.9164094906255185,999,9,110,4,3,0.016575410652065706,0.00014932802389248383,0.0018251202920192466,6.63680106188817e-05,4.977600796416127e-05
26,766813849,766813849,32072,64,29407,0.9169057121476677,808,29,8,1,2,0.025193315041157394,0.0009042155150910451,0.0002494387627837366,3.1179845347967076e-05,6.235969069593415e-05
27,766813850,766813850,69489,106,64681,0.9308091928218855,1223,1,69,5,1,0.01759990789909194,1.4390766883967246e-05,0.00099296291499374,7.195383441983624e-05,1.4390766883967246e-05
28,766813851,766813851,29687,52,27235,0.9174049247145215,706,0,64,1,1,0.023781453161316402,0.0,0.0021558257823289656,3.368477784889009e-05,3.368477784889009e-05
29,766813852,766813852,12232,42,10419,0.8517822105951602,317,8,10,9,0,0.02591563113145847,0.0006540222367560497,0.0008175277959450621,0.0007357750163505559,0.0
30,766813853,766813853,34002,85,31601,0.9293865066760779,846,3,23,3,19,0.024880889359449446,8.823010411152286e-05,0.0006764307981883418,8.823010411152286e-05,0.0005587906593729781
31,766813854,766813854,27844,75,24602,0.8835655796580951,587,3,5,41,3,0.02108174112914811,0.0001077431403533975,0.00017957190058899583,0.0014724895848297658,0.0001077431403533975
32,766813855,766813855,14610,44,12314,0.8428473648186174,304,27,65,1,1,0.02080766598220397,0.0018480492813141684,0.004449007529089665,6.844626967830253e-05,6.844626967830253e-05
33,766813856,766813856,33792,67,30924,0.9151278409090909,620,1,16,2,0,0.01834753787878788,2.959280303030303e-05,0.0004734848484848485,5.918560606060606e-05,0.0
34,766813857,766813857,11792,30,10525,0.8925542740841248,304,26,0,0,25,0.025780189959294438,0.0022048846675712347,0.0,0.0,0.002120081411126187
35,766813858,766813858,57415,81,54849,0.9553078463816076,1130,1,30,7,6,0.019681267961334147,1.741705129321606e-05,0.0005225115387964817,0.00012191935905251241,0.00010450230775929636
36,766813859,766813859,53415,72,50792,0.9508939436487878,1056,2,77,19,876,0.019769727604605446,3.744266591781335e-05,0.001441542637835814,0.0003557053262192268,0.016399887672002247
37,766813860,766813860,45468,85,41201,0.9061537784815694,840,3,22,102,120,0.018474531538664556,6.598046978094485e-05,0.0004838567783935955,0.0022433359725521247,0.0026392187912377936
38,766813861,766813861,24496,45,22572,0.9214565643370346,514,9,2,0,0,0.02098301763553233,0.0003674069235793599,8.164598301763554e-05,0.0,0.0
39,766813862,766813862,25799,87,21896,0.8487150664754448,508,1,1,1,13,0.019690685685491687,3.876119229427497e-05,3.876119229427497e-05,3.876119229427497e-05,0.0005038954998255747
40,766813863,766813863,13847,48,11489,0.8297104065862642,249,0,7,0,25,0.017982234419007728,0.0,0.0005055246623817433,0.0,0.0018054452227919404
41,766813864,766813864,22238,50,18829,0.8467038402734058,522,95,34,9,24,0.023473333932907636,0.004271966903498516,0.0015289144707257847,0.00040471265401564887,0.0010792337440417303
42,766813865,766813865,37886,77,33739,0.89054004117616,816,153,20,6,1,0.021538299107849865,0.00403843108272185,0.0005278994879374967,0.00015836984638124902,2.6394974396874834e-05
43,766813866,766813866,15094,59,13076,0.8663044918510666,357,0,3,1,0,0.023651782165098716,0.0,0.00019875447197561946,6.625149065853981e-05,0.0
44,766813867,766813867,25666,51,24065,0.9376217564092574,598,7,50,0,0,0.02329930647549287,0.0002727343567365386,0.0019481025481181329,0.0,0.0
45,766813868,766813868,17951,52,15808,0.8806194640967077,466,0,11,4,0,0.025959556570664587,0.0,0.0006127792323547434,0.00022282881176536126,0.0
46,766813869,766813869,25118,55,23197,0.9235209809698225,518,0,7,1,0,0.020622661039891712,0.0,0.0002786846086471853,3.9812086949597896e-05,0.0
47,766813870,766813870,49522,83,44711,0.9028512580267356,840,1,36,3,25,0.016962158232704656,2.0193045515124592e-05,0.0007269496385444853,6.0579136545373773e-05,0.0005048261378781147
48,766813871,766813871,53873,110,48274,0.8960703877638149,1739,113,60,100,43,0.0322796205891634,0.0020975256622055576,0.0011137304401091456,0.0018562174001819094,0.000798173482078221
49,766813872,766813872,33964,74,30077,0.885555293840537,751,41,11,110,23,0.02211164762689907,0.001207160522906607,0.0003238723354139677,0.0032387233541396774,0.0006771876104110235
50,766813873,766813873,41897,89,37784,0.9018306800009547,748,4,57,0,1,0.017853306919349835,9.547222951523975e-05,0.0013604792705921665,0.0,2.3868057378809938e-05
51,766813874,766813874,15191,79,12919,0.850437759199526,404,0,9,16,0,0.026594694226844844,0.0,0.0005924560595089197,0.0010532552169047462,0.0
52,766813875,766813875,1511,16,1239,0.8199867637326274,41,0,0,0,0,0.027134348113831898,0.0,0.0,0.0,0.0
53,766813876,766813876,26014,81,22891,0.8799492580917967,654,0,10,0,0,0.025140309064349966,0.0,0.00038440839547935725,0.0,0.0
54,766813877,766813877,54800,58,50828,0.9275182481751825,1275,11,6,1,4,0.023266423357664233,0.00020072992700729926,0.00010948905109489051,1.8248175182481753e-05,7.299270072992701e-05
55,766813878,766813878,22546,43,21344,0.9466867737070878,614,1,3,5,0,0.027233212099707266,4.435376563470239e-05,0.00013306129690410717,0.00022176882817351193,0.0
56,766813879,766813879,7235,26,6408,0.8856945404284727,192,0,5,29,1,0.02653766413268832,0.0,0.000691085003455425,0.0040082930200414655,0.00013821700069108501
57,766813880,766813880,15214,40,13652,0.8973314052846063,309,17,4,24,1,0.02031024056789799,0.0011173918759037728,0.0002629157355067701,0.0015774944130406204,6.572893387669252e-05
58,766813881,766813881,4362,45,3026,0.6937184777624943,125,6,4,0,3,0.02865657955066483,0.001375515818431912,0.0009170105456212746,0.0,0.000687757909215956
59,766813882,766813882,51201,71,47146,0.9208023280795297,1003,3,47,62,47,0.019589461143337043,5.8592605613171615e-05,0.000917950821273022,0.0012109138493388801,0.000917950821273022
60,766813883,766813883,11297,41,9928,0.8788173851464991,250,1,2,0,0,0.022129768965212,8.851907586084801e-05,0.00017703815172169602,0.0,0.0
61,766813884,766813884,28694,82,25333,0.8828674984317278,733,23,24,0,1,0.025545410190283682,0.0008015613020143584,0.0008364117934062871,0.0,3.4850491391928626e-05
62,766813885,766813885,9118,39,7852,0.8611537617898662,271,0,0,0,0,0.0297214301381882,0.0,0.0,0.0,0.0
63,766813886,766813886,47539,75,45046,0.9475588464208334,1124,19,28,8,3,0.023643745135572897,0.00039967184837712196,0.0005889900923452323,0.00016828288352720925,6.310608132270347e-05
64,766813887,766813887,10603,65,8789,0.8289163444308215,243,0,44,1,0,0.022918042063566915,0.0,0.004149768933320758,9.431293030274451e-05,0.0
65,766813888,766813888,6924,37,5906,0.8529751588677065,159,3,0,0,0,0.02296360485268631,0.0004332755632582322,0.0,0.0,0.0
66,766813889,766813889,38322,80,33757,0.8808778247481864,751,80,10,2,10,0.01959709827253275,0.002087573717446897,0.00026094671468086214,5.218934293617243e-05,0.00026094671468086214
67,766813890,766813890,14851,78,12524,0.8433102148003502,287,0,0,1,0,0.01932529795973335,0.0,0.0,6.733553296074339e-05,0.0
68,766813891,766813891,14161,62,12857,0.9079161076195184,359,0,5,2,39,0.02535131699738719,0.0,0.00035308240943436196,0.0001412329637737448,0.0027540427935880234
69,766813892,766813892,37350,86,33469,0.896091030789826,776,5,33,1,32,0.0207764390896921,0.00013386880856760375,0.0008835341365461848,2.677376171352075e-05,0.000856760374832664
70,766813893,766813893,33880,65,29908,0.8827626918536009,713,24,105,33,1,0.02104486422668241,0.0007083825265643448,0.0030991735537190084,0.000974025974025974,2.95159386068477e-05
71,766813894,766813894,15897,49,15150,0.9530100018871486,416,7,7,2,0,0.026168459457759325,0.00044033465433729633,0.00044033465433729633,0.00012580990123922753,0.0
72,766813895,766813895,47949,89,43706,0.911510146197001,1054,2,19,9,5,0.02198168887776596,4.171098458779119e-05,0.00039625435358401636,0.00018769943064506038,0.00010427746146947799
73,766813896,766813896,32981,81,27998,0.8489130105212092,607,1,5,0,0,0.018404535944937996,3.032048755343986e-05,0.00015160243776719928,0.0,0.0
74,766813897,766813897,14592,54,12737,0.8728755482456141,385,0,5,2,3,0.026384320175438597,0.0,0.0003426535087719298,0.00013706140350877192,0.00020559210526315788
75,766813898,766813898,36609,99,33421,0.9129175885711164,852,5,24,8,57,0.02327296566418094,0.000136578436996367,0.0006555764975825617,0.00021852549919418722,0.001556994181758584
