type,name,acquired,used
category,amulets,0,0
category,armor,0,0
category,boulders,0,0
category,coins,8,8
category,comestibles,3,3
category,gems,5,5
category,potions,22,17
category,rings,2,0
category,scrolls,11,8
category,spellbooks,8,6
category,tools,0,0
category,wands,1,0
category,weapons,0,0
item,blessed spellbook of healing,6,6
item,3 uncursed potions of healing,6,6
item,jeweled wand,6,6
item,newt corpse,6,6
item,an uncursed +1 robe (being worn),6,5
item,2 uncursed potions of healing,6,5
item,blessed potion of healing,6,5
item,3 uncursed food rations,5,5
item,blessed spellbook of sleep,5,5
item,4 uncursed food rations,5,4
item,an uncursed scroll of identify,4,4
item,6 uncursed apples,4,4
item,lichen corpse,4,4
item,an uncursed +2 pair of leather gloves (being worn),4,3
item,7 uncursed apples,4,3
item,3 uncursed fortune cookies,4,3
item,cursed +1 robe (being worn),3,3
item,5 uncursed oranges,3,3
item,4 uncursed fortune cookies,3,3
item,5 uncursed food rations,3,3
item,an uncursed scroll of enchant armor,3,3
item,an uncursed lichen corpse,3,3
item,2 newt corpses,3,3
item,6 uncursed oranges,2,2
item,cursed +2 pair of leather gloves (being worn),2,2
item,an uncursed spellbook of healing,2,2
item,an uncursed oil lamp,2,2
item,4 gold pieces,2,2
item,5 uncursed apples,2,2
item,an uncursed food ration,2,2
item,blessed +1 robe (being worn),2,2
item,scroll labeled ETAOIN SHRDLU,2,2
item,scroll labeled ELBIB YLOH,2,2
item,blessed spellbook of protection,2,1
item,food ration,2,1
item,magic marker (0:34),1,1
item,4 cursed food rations,1,1
item,3 cursed fortune cookies,1,1
item,an uncursed scroll of food detection,1,1
item,magic marker (0:70),1,1
item,2 gold pieces,1,1
item,an uncursed potion of healing,1,1
item,scroll labeled ABRA KA DABRA,1,1
item,swirly potion,1,1
item,cursed scroll of identify,1,1
item,cursed oil lamp,1,1
item,2 uncursed food rations,1,1
item,an uncursed partly eaten food ration,1,1
item,an uncursed scroll of confuse monster,1,1
item,fortune cookie,1,1
item,3 gold pieces,1,1
item,2 fortune cookies,1,1
item,candy bar,1,1
item,2 uncursed fortune cookies,1,1
item,an uncursed candy bar,1,1
item,an uncursed scroll of teleportation,1,1
item,crystal wand,1,1
item,an uncursed scroll of genocide,1,1
item,magic marker (0:99),1,1
item,7 gold pieces,1,1
item,cream pie,1,1
item,an uncursed cream pie,1,1
item,an uncursed scroll of destroy armor,1,1
item,cursed scroll of destroy armor,1,1
item,3 cursed food rations,1,1
item,an uncursed scroll of remove curse,1,1
item,melon,1,1
item,2 lichen corpses,1,1
item,3 lichen corpses,1,1
item,5 lichen corpses,1,1
item,6 lichen corpses,1,1
item,6 uncursed lichen corpses,1,1
item,an uncursed melon,1,1
item,cursed scroll of amnesia,1,1
item,an uncursed scroll of stinking cloud,1,1
item,an uncursed scroll of taming,1,1
item,cursed scroll of taming,1,1
item,5 cursed oranges,1,1
item,8 uncursed oranges,1,1
item,5 uncursed fortune cookies,1,1
item,blessed +2 pair of leather gloves (being worn),1,1
item,blessed scroll of identify,1,1
item,slime mold,1,1
item,black potion,1,1
item,pine wand,1,1
item,an uncursed slime mold,1,1
item,blessed potion of sleeping,1,1
item,wand of secret door detection (0:14),1,1
item,an emerald potion,1,1
item,an uncursed potion of booze,1,1
item,scroll labeled READ ME,1,1
item,an uncursed newt corpse,1,1
item,an uncursed scroll of enchant weapon,1,1
item,7 uncursed oranges,1,0
item,an uncursed scroll of create monster,1,0
item,scroll labeled GNIK SISI VLE,1,0
item,milky potion,1,0
